name,email
Delta Gamma,dggammapresident@gmail.com
Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity,berkeleydpe@gmail.com
Delta Sigma,
Delta Kappa Alpha,president@berkeley.dka.org
Delta Upsilon,
"Delta Sigma Theta Sorority, Inc.",kappa1921@gmail.com
Department of Integrative Biology Students,caldibs@gmail.com
Delta Xi Phi Multicultural Sorority,ucbdeltaxiphi@gmail.com
Design at Berkeley,designatberk@gmail.com
Digital Rights Project,digitalrightsproject@law.berkeley.edu
Dil Se,ucberkeleydilse@gmail.com
Disability Rights Project,drp@berkeley.edu
Disabled Students Association at Berkeley,dsabl@berkeley.edu
Disney Club at Berkeley,disneyclubatberkeley@gmail.com
DiversaTech,diversatech.berkeley@gmail.com
Doctors Without Borders at Berkeley,msf.ucberkeley@gmail.com
Diversity in Public Policy,amarpreetkaur@berkeley.edu
DREAM Campus Ministry,Berkeley.Dream@gmail.com
Down Syndrome Community Outreach at Berkeley,downsyndromeberkeley@gmail.com
Drawn to Scale,cal.drawntoscale@gmail.com
DUPE Wu-rster,
Dwinelle Hall Breakers,
East Asian Union,chair@eau.berkeley.edu
Earthquake Engineering Research Institute at Berkeley,eeri@berkeley.edu
Ecology Law Quarterly,julia.whitehead@berkeley.edu
East Bay Dreamers Project,dreamersclinic@berkeley.edu
Ecode,ecodeatberkeley@gmail.com
Ecommerce at Berkeley,ecommerceberkeley@gmail.com
Education Initiative for Development ,ursan@berkeley.edu
Economists for Equity at Berkeley (Formerly Women in Economics at Berkeley),
EECS Graduate Student League,
Education Reimagined in the Bay,edreimaginedberkeley@gmail.com
Effective Altruists of Berkeley,admin@eaberkeley.com
Eggster Organization,eggsteroverall@gmail.com
Election Law @ Berkeley Law,sara_clark@berkeley.edu
Egyptian Student Association at Berkeley,alyibr@berkeley.edu
Eleven: The Undergraduate Journal of Sociology,eleven.ucb@gmail.com
EnableTech,enabletechberkeley@gmail.com
Enactus of Berkeley ,rheagrover6@berkeley.edu
Electrical Engineering Graduate Student Association,
Energy and Resources Group Student Advocacy Committee for Equity and Inclusion,
Empowering Women of Color Conference,
Engineers and Mentors of Berkeley,beam.teach@gmail.com
Engineering Wellness at Berkeley,engineeringwellnessatberkeley@gmail.com
Engineering and Project Management Society,
Engineering Student Council ,president@esc.berkeley.edu
Engineers For A Sustainable World -Berkeley,officers@esw.berkeley.edu
Engineers Without Borders at Berkeley,ewb.ucb@gmail.com
English Undergraduate Association,berkeley.eua@gmail.com
Entomology Students' Organization,eso@lists.berkeley.edu
Entrepreneurs @ Berkeley,admin@entrepreneurs.berkeley.edu
Environmental Law Society @ Berkeley Law (formerly Boalt Environmental Law Society),environment@law.berkeley.edu
Environmental Engineering Advocacy Team,
Environmental Health Alliance,ehaberkeley@gmail.com
Environmental Health Sciences Graduate Students,gostout@berkeley.edu
Environmental Team,calenviroteam@gmail.com
Environmental Conservation Outreach,ecoslp@berkeley.edu
Environmental Sciences Student Association,berkeley.essa@gmail.com
Epsilon Pi at Berkeley,jcaminiti@berkeley.edu
Epsilon Eta,epsilonetaberkeley@gmail.com
ESPM Graduate Diversity Council,espmgdc@berkeley.edu
ESPM Graduate Student Association,espmgsa@gmail.com
Eta Kappa Nu,hkn@hkn.eecs.berkeley.edu
ERRC Writing Clinic,writing.clinic@errchina.com
ESPM Graduate Student Research Organizing Committee for the Symposium,r.madden@berkeley.edu
Eta Omega Chi,etaomegachi@gmail.com
Ethnic Studies 5th Account,
EthiCal Apparel,ethicalapparel@gmail.com
EXP Dance,expdancecrew@gmail.com
Expanding Your Horizons at Berkeley,eyh_ucb@googlegroups.com
Exposure-Organization of Student Photographers,exposureos.ucb@gmail.com
EyeChat! ,haominm98@berkeley.edu
Extended Reality @ Berkeley ,contact@xr.berkeley.edu
Faces of African Muslims Students,famcalberkeley@gmail.com
Falun Dafa Club @ Berkeley ,
Federalist Society at Berkeley Law,berkeleyfederalistsociety@gmail.com
Fantasy Sports at Berkeley,berkfantasysports@gmail.com
FeelGood,feelgoodberkeley@gmail.com
Fei Tian Dancers,dance.chinese@gmail.com
Fashion and Student Trends,calfastinternal@gmail.com
Fastpitch Softball at Berkeley,berkeleyclubsoftball@gmail.com
Fellowship in Christ in Berkeley,kirstychoi@berkeley.edu
Fellowship of Christian Optometrists Chapter at Berkeley (Formerly Christian Medical and Dental Associations Chapter at Berkeley),berkeleycmda@gmail.com
Fiat Lux Scholars Association (Formerly Cal Opportunity Scholars Association),ucberkeleyflsa@berkeley.edu
FEMTech,femtechberkeley@gmail.com
FIAT at Berkeley,
Fighting Games at Berkeley,berkeleyfgc@gmail.com
Filipino & Philippine Studies Working Group,alex.mabanta@berkeley.edu
Film Society,
Financial Education Association of Berkeley,berkeleyfin.ed@gmail.com
Finance & Strategy Roundtable at Berkeley,alex.eshoo@berkeley.edu
Financial Engineering Students Association,mfe@haas.berkeley.edu
Fintech at Berkeley,fintechberkeley@gmail.com
Fintech Investment Network,
Financial Literacy and Economic Justice Conference,flejcon@gmail.com
First Generation Professionals,berkeleylawfgp@gmail.com
First Love at Berkeley,eddieland12@berkeley.edu
First-Gen and/or Low-Income Graduate Students ,yakira.mirabito@berkeley.edu
Food Association at Berkeley,foodatberkeley@gmail.com
FoCUS,Kathyt@fpcberkeley.org
Food Friendly Finance,brandonqinqin@gmail.com
Food Science and Tech at Cal,fstatcal@gmail.com
Food Justice Project,foodjustice@law.berkeley.edu
"Food, Equity, Entrepreneurship, & Development",feedberkeley@gmail.com
Food Institute Graduate Council at Berkeley,
For Christ's Sake,FCSBerkeley@gmail.com
Formula Electric at Berkeley (Formerly bLoop),contact@ev.berkeley.edu
Foundation for International Medical Relief of Children,fimrc.berkeley@gmail.com
Foresight Pre-Optometry Club,foresight.president@gmail.com
"Free Peach, The",spauker@berkeley.edu
Formula SAE (Society of Automotive Engineers),fsae@me.berkeley.edu
Foster Education Project,fostered@law.berkeley.edu
Free the Land Project,ftlp@berkeley.edu
Free Ventures,christina@freeventures.org
"Future Business Leaders of America-Phi Beta Lambda, Inc.",execs@pbl.berkeley.edu
Friends of the Co-ops,president@bsc.coop
Future Surgeons of America Club,nikitaclassof2023@berkeley.edu
GA Basic Needs Security Project,
GA Campus Affairs Vice President,cavp@ga.berkeley.edu
GA Commercial Revenues,
GA Berkeley Business Law Journal,bblj@law.berkeley.edu
GA Contingency,
GA Development,
GA Disabled Students Advocacy Project,
GA Environmental Sustainability Project,
GA External Affairs Vice President,
GA Executive Board ,
GA Funding,funding@ga.berkeley.edu
GA Funding Committee Chair,
GA Graduate Events,
GA Graduate Student Advocate,
GA Graduate Mentoring Project,
"GA Graduate Meetings, Events, and Resources",
GA Group Resources,
GA Internal Vice President,
GA IT,
GA Grants,
GA Labor Liaison,
GA Management,
GA Operating / Business Office,businessoffice@ga.berkeley.edu
GA Misc. Activities Account ,
GA Policing Workgroup,
GA President,president@ga.berkeley.edu
GA Project: 150 Years of Women at Cal,
GA Projects,
GA Publication,
GA Reserves ,
GA Rules Officer ,rules@ga.berkeley.edu
GA Travel Award,
GA Training Organization TESTING ONLY,
GA Travel Funds (branch of GA Funding),
GA VP of Equity and Inclusion,
GA Unallocated Budget,
GA Vice President of Finance,
GA Working Groups Group,
Gaming at Berkeley,ucbesports@gmail.com
Game Design and Development at Berkeley ,calgamedesign@gmail.com
Gamma Phi Beta (Gamma Phi),cal.gammaphi.pres@gmail.com
Gamma Rho Lambda,lambda@gammarholambda.org
"Gamma Zeta Alpha Fraternity, Inc.",calgammas@gmail.com
Generation Flow (Formerly Ladies for Change) ,generationflowatberkeley@gmail.com
Garb,berkeleygarb@gmail.com
Generational Healthcare Initiative,
GENup Collegiate at Berkeley,genupcoberkeley@gmail.com
Geography Group on Gender and Difference,pettis@berkeley.edu
Geological Association at Berkeley,paolosanchez@berkeley.edu
GeoEngineering Graduate Student Association at Berkeley,geoengineering@berkeley.edu
Geoscience Students of Color at Berkeley,gsocofficer@gmail.com
Gia Magazine,giamag.ucb@gmail.com
Girl Up,amritarama@berkeley.edu
Girls Teaching Girls to Code at Berkeley,ucberkeley@girlsteachinggirlstocode.org
Global Citizen,
Girls Who Code at Berkeley,gwcberkeley@gmail.com
Global Medical Missions Alliance at Berkeley,berkeleygmma@gmail.com
Global Health Brigades at Berkeley,globalhealthbrigades.berkeley@gmail.com
Global Medical Training ,gmtucberkeley@gmail.com
Global Research and Consulting Group at Berkeley,berkeley@grcglobalgroup.com
Global Student Association at Berkeley Law,
Golden Records,jpjossart@berkeley.edu
GlobeMed at Berkeley,berkeley@globemed.org
GOAT Talk,
Graduate Architecture Student Union,ced.gradstudentunion@berkeley.edu
Graduate Assembly Governance Workgroup (GA GWG),
Graduate Assembly,
Graduate Assembly of Students in Psychology,gasp@berkeley.edu
Graduate Geographers of Berkeley,samstein@berkeley.edu
Graduate Global Development,
Graduate Association of Latinx Students (GALS)(FORMERLY known as Graduate Students de la Raza),berkeley.gals@gmail.com
Graduate Minority Outreach Recruitment and Retention,
Graduate Minority Student Project,
Graduate School of Education Research Day Organizational Committee ,educationresearchday@gmail.com
Graduate Social Club,
Graduate Student Journal of the School of Education,bre_editor@berkeley.edu
Graduate Student Parent Advocacy,
Graduate Student Wellness Project,
Graduate Students in Agricultural Economics,cpjackson@berkeley.edu
Graduate Women's Project,
Graduate Women of Engineering,gradswe@berkeley.edu
Greeks Against Sexual Assault at Berkeley (GASA),gasa@calgreeks.com
Greening the Greeks,greeningthegreeks@berkeley.edu
Guided Resource and Education Program in Machine Learning,grepberkeley@gmail.com
Gymnastics Club of California,gymnasticsofcalifornia@gmail.com
Health and Medical Apprenticeship Program,hmap@berkeley.edu
Health Students for Climate Action (HEALS-CA),admin@healsca.berkeley.edu
Healthcare Business Association at Berkeley,healthcarebusinessberkeley@gmail.com
Haas Undergraduate Black Business Association,ucbhubba@gmail.com
Healthcare Consulting Group at Berkeley,chiutien0411@berkeley.edu
Helix @ Berkeley,contact@thehelixgroup.org
Haas Business School Association,hbsageneral@gmail.com
Hack the Bay,team@calhacks.io
Hellenic Student Association at Berkeley,
Heart at Berkeley [Formerly You're the Cure at Berkeley],thecure.ucb@gmail.com
Hep B Project,hepbproject@gmail.com
Her Campus of Berkeley,hc.ucberkeley@hercampus.com
Herbicide Free at Berkeley,herbicidefreeberkeley@gmail.com
Hermanos Unidos,huchochairs@berkeley.edu
"Heuristic Squelch, The",heuristicsquelch@gmail.com
Hispanic Engineers and Scientists,hesberkeley8@gmail.com
Hermanas Unidas de UC Berkeley,ucbhau.cochairs@gmail.com
Hidden Road Initiative,arsine.03@berkeley.edu
Historical Fencing Club of Berkeley,steelonsteelhfc@gmail.com
Hmong Student Association at Berkeley,hsaberkeley@gmail.com
Hong Kong Affairs Association of Berkeley,hkaaberk@gmail.com
Home of Students Christian Fellowship,hosfellowship@gmail.com
Homelessness Service Project,hspprobono@berkeley.edu
Hong Kong Student Association,berkeleyhksa@gmail.com
Horror House at Berkeley,horrorhouseatberkeley@gmail.com
Hub for Equity and Administrative Representation,Hear@berkeley.edu
Human Powered Vehicle,hpv-me@berkeley.edu
Hurling Club at Berkeley,hanqiaoz@berkeley.edu
I-Clicker Rental Program,
IDEA Factory,ideafactoryadv@gmail.com
Identity and Gender Spectrum,igs@ocf.berkeley.edu
IEEE Student Branch,ieee@berkeley.edu
If/When/How: Lawyering for Reproductive Justice at Berkeley,brookedb@berkeley.edu
IEEE Power and Energy at Berkeley,
iGEM at Berkeley,directors@igem.berkeley.edu
Ignite Ministries,
In Between,inbetweenberkeley@gmail.com
Imago Dei Clinic,imagodeiclinic@gmail.com
Improv4Charity,t4cimprov@gmail.com
Informatics Competition at California,
Infectious Diseases and Immunity PhD Student Group,nicholas.lo@berkeley.edu
Indigenous and Native Coalition (INC) Recruitment and Retention Center,natives@berkeley.edu
Indian Students Association,contact@isa.berkeley.edu
Information Management Student Association,imsa@ischool.berkeley.edu
Inside the Living Room,ilr.ucb@gmail.com
Institute of Business Forecasting and Planning at Berkeley,jmiller558@berkeley.edu
Institute of Transportation Engineers at Berkeley,ucberkeleyite@gmail.com
Institute of Industrial and Systems Engineers,iise@berkeley.edu
Integrative Biology Graduate Student Association,jacquelyngalvez@berkeley.edu
Interfraternity Council (IFC),
"Intermission Orchestra, The",intermissionberkeley@gmail.com
International Consulting Club at Berkeley,berkeleyintconsulting@gmail.com
International Human Rights Workshop,ihrw@law.berkeley.edu
International & Undocumented Student Project (GA Project),
International Healthcare Association,ihcaberkeley@gmail.com
International Graduate Student Ministry,berkeleyigsm@gmail.com
International Public Policy Group,manshasiraj@berkeley.edu
International Building Performance Simulation Association/ASHRAE Berkeley,ruijis@berkeley.edu
International Refugee Assistance Project at Berkeley Law,irap@law.berkeley.edu
International Service Club,international@calrotaract.org
International Relations Council of Berkeley,ircofberkeley@gmail.com
International Student Mentorship Program at Berkeley,yehongtan@berkeley.edu
International Youth and Students for Social Equality,iysse.ucberkeley@gmail.com
International Undergraduate Student Ministry,berkiusm@gmail.com
Intertribal Student Council,natives@berkeley.edu
International Students Association at Berkeley,isab.officer@gmail.com
InterVarsity Christian Fellowship,intervarsityccf@gmail.com
Invention Corps of Berkeley,inventioncorps@icb.berkeley.edu
Ismailis at Berkeley,armaanismail@berkeley.edu
Iota Nu Mu International Professional Fraternity,
Iranian Student Association in America,info@isaa.berkeley.edu
Investments and Finance at Berkeley,
INvent,eduhmc00@gmail.com
Issues Berkeley Medical Journal,my.ha@berkeley.edu
Iranian Students Cultural Organization,iscoucb@gmail.com
Iu-Mien Student Union,ucb.imsu@gmail.com
Jain Students Association,pranavb@berkeley.edu
Jericho!,jerichocomedy@gmail.com
Jeeva Clinic,kiranshreyas29@berkeley.edu
Jakara Movement Club at Berkeley,harvirkaur@berkeley.edu
Jewish Students Association at Berkeley Law,jsabl@law.berkeley.edu
Jugger at Berkeley,m_chen@berkeley.edu
Jewish Voice for Peace at Berkeley,berkeley@jewishvoiceforpeace.org
Kairos Dance Co. ,kairosdanceco@gmail.com
Kappa Alpha Order,
Kappa Alpha Theta,omegathetaceo@gmail.com
Kappa Gamma Delta,ucbkgdpresident@gmail.com
"Kappa Alpha Psi Fraternity, Inc.",
Kappa Alpha Pi Pre-Law Fraternity,kapiucb.president@gmail.com
Kappa Delta Rho,
Kappa Kappa Gamma,kkgucbpresident@gmail.com
Kendo Club,kendoclub.berkeley@gmail.com
kmoverse,kevmo@berkeley.edu
Kidney Disease Screening and Awareness Program ,berkeleykdsap@gmail.com
Kink Club,kinkclubberkeley@gmail.com
Klesis,lilyli@berkeley.edu
Kickboxing at Berkeley,
Kojobs at Berkeley,kojobsatberkeley@gmail.com
Kerusso Fellowship,
Korea Campus Crusade for Christ,ucbkccc@gmail.com
Korean Undergraduate Networking Association,ucberkeleykuna@gmail.com
Korean American Student Association,calkasa@gmail.com
Korean Business Organization,
Korean Performance Group,kpg.cal@gmail.com
La Raza Law Journal,lrlj@berkeley.edu
La Alianza: Law Students of Latin American Descent (Formerly La Raza Law Students Association),laalianza@berkeley.edu
KOSMOS,kosmosucb@gmail.com
La Raza Workers' and Tenants' Rights Clinic,LaRazaSLP@berkeley.edu
"Lambda Theta Alpha Latin Sorority, Inc.",lta.do.president@gmail.com
Labor Coach Program,ahs.laborcoach@gmail.com
"Lambda Upsilon Lambda Fraternity, Inc.",a.mendoza@berkeley.edu
Laotian American Student Representatives,
"Lambda Theta Nu Sorority, Inc.",LambdaThetaNu.Berkeley@gmail.com
Latin American Leadership Society,llsatberkeley@gmail.com
"Lambda Theta Phi, Latin Fraternity, Inc.",ucblambdas@gmail.com
Latino/a Association of Graduate Students in Engineering and Science,lagses-contact@gmail.com
Latinos In Law at Berkeley,latinosinlaw.cal@gmail.com
Launchpad,team@callaunchpad.org
Latinx Social Work Caucus,latinxswcaucus.cal@gmail.com
Lavender Alliance at Berkeley,lavenderallianceberkeley@gmail.com
Law and Political Economy Society of Berkeley,berkeley.lpesoc@gmail.com
Latinx Pre-Law Society ,lplsexecutivedirector@gmail.com
Law and Society Graduate Association,zsalazar2019@berkeley.edu
Law Students of African Descent,lsad@law.berkeley.edu
Law Students for Justice in Palestine,berkeleylsjp@gmail.com
Laya of Berkeley,layaofberkeley@gmail.com
Lawn Review at Berkeley Law,californialawnreview@law.berkeley.edu
League of Filipino Students,lfsucberkeley@gmail.com
LEAD Center Peer Leadership Consultants,
Le Cercle Français of Berkeley,clairecombredet@berkeley.edu
Lean On Me At Berkeley,daniellaivanir@berkeley.edu
Legal Automation Workshop,legalautomation@berkeley.edu
Legal Obstacles Veterans Encounter,love_slp@berkeley.edu
Legends of Berkeley,berkeleyleagueoflegends@gmail.com
Liberty in North Korea at Berkeley,linkbayarea@gmail.com
Let's Rise - Asian Mentorship Program,letsrisementorship@gmail.com
Lindy On Sproul,lindyonthesproul@gmail.com
Linguaphile Student Association,callinguaphiles@gmail.com
"Literary Society of Berkeley, The (Formerly The Book Club of Berkeley)",megnar13@berkeley.edu
Live Poets Society, livepoetsatberkeley@gmail.com alarichardson@berkeley.edu  miranda.jiang@berkeley.edu
Lower Sproul Referendum,
LW Presence Fellowship ,lwpresence@googlegroups.com
LW Passion Fellowship,passionlivingwater@gmail.com
Logging Sports Team,Buckingbears@gmail.com
Machine Learning at Berkeley,contact@ml.berkeley.edu
Local Service Club,local@calrotaract.org
Macau Student Association,
maganda magazine,maganda.eic@gmail.com
Main Stacks Dance Team,mainstacksdance@gmail.com
Maimonides,camisylvester@berkeley.edu
Malion Circle at Berkeley,
Management Consulting Club at Berkeley,yeunlee000105@berkeley.edu
"Management, Entrepreneurship & Technology Student Board",sravyab@berkeley.edu
Malaysian Student Association at Berkeley,berkeleymasa@gmail.com
March of Dimes Collegiate Council,marchofdimesberkeley@gmail.com
Mariachi Luz de Oro,ucbmariachi@gmail.com
Master of Design Student Association (MDSA),mdsa_executiveboard@lists.berkeley.edu
Masked Heroes Initiative at Berkeley,
Materials Science and Engineering Association,general@msea.berkeley.edu 
Math Tournament at Berkeley,questions@bmt.berkeley.edu 
Materials Science and Engineering Graduate Student Council,arutt@berkeley.edu
Mathematics Graduate Students Association,mgsa@math.berkeley.edu
Mathematics Undergraduate Student Association,musa@math.berkeley.edu
Matriculate,info@matriculate.org
Maya at Berkeley,mayaatcal@gmail.com
MBA Association,
Mechanical Engineering Competition Team at Berkeley,treyriddle@berkeley.edu
Medical Division at the Suitcase Clinic,jmpsuitcase@gmail.com
Medical Research Club,
Mechanical Engineering Graduate Student Council,admin@megsco.berkeley.edu
Medical Reallocation Initiative,teambmri@gmail.com
Medics in Armenia at Berkeley,armen.n.demirjian@berkeley.edu
MEDLIFE,ucbmedlife@gmail.com
Medical Technology at Berkeley ,ucbmtab@gmail.com
Medicine Through Art & Performance,mtapberkeley@gmail.com
Microfinance at Berkeley,berkeleymicrofinance@gmail.com
MERCY Worldwide at Berkeley,
MI2 @ Berkeley,mi2atberkeley@gmail.com
Middle Eastern and North African Law Students Association (Formerly Middle Eastern Law Students Association),berkeleylawmelsa@gmail.com
Middle Eastern Business Association,mrayes@berkeley.edu
Middle Eastern Medical Society,
Middle Eastern North African Recruitment and Retention Center,ucberkeleymenarrc@gmail.com
Mindfulness at Berkeley,mindfulnessatberkeley@gmail.com
Military and Veterans at Berkeley Law,mvbl@berkeley.edu
Minecraft at Berkeley,
Minorities in Health Conference,
Mixed @ Berkeley Recruitment and Retention Center - MRRC (formerly Mixed Student Union - MSU),mixedatberkeley@gmail.com
Mobile Developers of Berkeley,contact@mdb.dev
Molecular and Cell Biology Cell Developmental Neurobiological Association,mcbcdna@gmail.com
Molecular Cell Biology Graduate Student Organization,mcbgso@gmail.com
Mood Psychology at Berkeley,moodpsych@gmail.com
Molecular and Cell Biology Undergraduate Student Association,mcbusa@gmail.com
Mongolian Student Association,
Morning Sign Out,admin@morningsignout.berkeley.edu
MOVE: AA Community Organizing Fellowship (Formerly known as: MOVE: API Organizing Fellowship),movefellowshipcal@gmail.com
"Movement, The",ucb.movement@gmail.com
Mujeres Activas en Letras y Cambio Social at Berkeley,malcs.ucberkeley@gmail.com
Multi-Cultural Greek Council ,mcgc.president@calgreeks.com
"Music Connection, The",tmcberkeley@gmail.com
Museum of Tomorrow at Berkeley,museumoftomorrow@gmail.com
Muslim Mental Health Initiative,calmmhi@gmail.com
Muslim Student Association,board@msa.berkeley.edu
Myopia Control Club at Berkeley (MCC),
NALA Project at Berkeley,nalaproject@berkeley.edu
Namchak at Berkeley,CompassionInActionUCBerkeley@gmail.com
Name and Gender Change Workshop,ngcwberkeley@gmail.com
"National Lawyers Guild, Berkeley Law Chapter",nlgberkeleylaw@gmail.com
National Forensics Association Debate at Berkeley,calparli@gmail.com
National Association of Black Journalists,nabj.cal@gmail.com
National Optometric Student Association ,nosa.berkeley@gmail.com
National Organization of Minority Architects Students,nomas.berkeley@gmail.com
National Pan-Hellenic Council (NPHC),calnphc9@gmail.com
Nazakat at Berkeley,calkathak@gmail.com
National Student Speech Language Hearing Association at Berkeley,nsslhaatberkeley@gmail.com
National Society of Leadership and Success- Sigma Alpha Pi,nslsucberkeley@gmail.com
Natya at Berkeley,natyaberkeley@gmail.com
Native American Law Students Association,nalsa.ucberkeley@gmail.com
Nepalese Student Association,tenzingsherpa@berkeley.edu
Neurotechnology at Berkeley,contact@neurotech.berkeley.edu
Net Impact Berkeley,net-impact@berkeley.edu
Next Generation Consulting at Berkeley,ngcberkeley@gmail.com
Nikkei Choral Ensemble,nikkeichoralensemble@gmail.com
Nigerian Students Association,nsa.ucb@gmail.com
Nikkei Student Union,berkeleynsu@gmail.com
NODE,
"Noetherian Ring, The",nring@math.berkeley.edu
Non-Traditional at Berkeley,
Nuclear Policy Working Group,austin_mullen@berkeley.edu
Nurturing Infants and Care for the Underrepresented,nicu@nicu.berkeley.edu
Nukids Nubies,
NutrigenomX at Berkeley,nutrigenomxberkeley@gmail.com
Ocean Society of Berkeley,caloceansociety@gmail.com
Older Wiser Law Students of Berkeley,berkeley.owls@gmail.com
Oakland Asian Student Educational Services,oases@ebayc.org
"Omega Phi Beta Sorority, Inc.",betamu@omegaphibeta.org
"Omniscient Tutor, The",support@itot.berkeley.edu
One For the World,karanvaswani29@berkeley.edu
One Health Student Initiative,onehealthsiatcal@gmail.com
ONETrack International at Berkeley,ucb.onetrackinternational@gmail.com
"Omega Psi Phi Fraternity, Inc.",epsilonmuques1911@gmail.com
Operation Smile at Berkeley (Formerly Operation Smile),operationsmileberkeley@gmail.com
Open Science @ Berkeley,
Optometric Business Management Club of Berkeley (formerly known as Private Practice Club of Berkeley),ucbso.obm@gmail.com
Optimir Consulting,optimirconsulting@gmail.com
Opportunity Through Data,info@otd.berkeley.edu
Organization of Jewish Graduate Students,sfk@berkeley.edu
Optometry Class of 2024 at Berkeley,
Optometry Class of 2025 at Berkeley (Formerly Optometry Class of 2021 at Berkeley),ucosa.2025classpres@gmail.com
Optometry Class of 2023 at Berkeley (formerly Optometry Class of 2019),ucosa.2023classpres@gmail.com
Out for Business at Berkeley,o4bberkeley@gmail.com
"Out in Science, Technology, Engineering, and Mathematics",ostemberkeley@gmail.com
Outlet,outlet.berkeley@gmail.com
OWN IT at Berkeley,mpacifico@berkeley.edu
Pakistani Student Association,berkeleypsa@gmail.com
Pacific Islanders at Cal,ucbpacbears@gmail.com
Palestine Advocacy Legal Assistance Project,pala@berkeley.edu
Overwatch at Berkeley,
Palestinian Public Health at UC Berkeley,palestinianpublichealth@gmail.com
Panel to the People,ucb.panel2people@gmail.com
Panhellenic Council (PHC),phc.hrc@calgreeks.com
Paper Crane,papercrane.berkeley@gmail.com
Paragon Consulting at Berkeley,ucb.paragon.consulting@gmail.com
Partners In Health Engage at Berkeley ,pih.engage.ucberkeley@gmail.com
Partnership for Pre-Professional Pilipinxs,ucberkeleyp4@gmail.com
Parliamentary Debate at Berkeley,calparli@gmail.com
Patient Advocacy Student Group,prarthanab@berkeley.edu
Patent Law Society,patent.berkeley@gmail.com
Paws for Mental Health (Formerly De-Stress with Dogs),pmh.berkeley@gmail.com
Peer Wellness Coalition ,peerwellnesscoalition@gmail.com
People of Color in Greek Life ,
Perennial: The Undergraduate Environmental Journal of Berkeley,calperennial@gmail.com
"Peers Espousing Amiability, Cooperation, and Education",peaceatberkeley@gmail.com
"PERIOD Project at Berkeley, The",period.berkeley@gmail.com
Perspective Magazine,info@perspective.berkeley.edu
PhD Consulting Club at Berkeley,phdconsultingclub@gmail.com
"Phi Alpha Delta Law Fraternity, International",president.berkeleypad@gmail.com
Phalanx: Pre-Medical Consulting,phalanxpremed@gmail.com
Phi Alpha Theta,phat.berkeley@gmail.com
Phi Chi Pre-Health Fraternity,berkeleyphichi@gmail.com
Phi Delta Epsilon,berkeleyphide@gmail.com
Phi Delta Theta,
Phi Kappa Psi,calphipsi@gmail.com
Philosophy Forum ,calphilforum@gmail.com
Phi Kappa Sigma,calphikapp@gmail.com
Phi Sigma Rho,calphirho@gmail.com
Phi Kappa Tau,colinsnyder3@berkeley.edu
Phoenix Consulting Group,emily.gu@berkeley.edu
Phoenix Symphony at Berkeley  ,phoenixsymphonyab@gmail.com
Pi Beta Phi,cabeta@pibetaphi.org
Pi Kappa Alpha,
Pi Sigma Epsilon,berkeleypse.president@gmail.com
Pi Kappa Phi,pikappcal@gmail.com
Pi Tau Sigma,ucberkeleypts@gmail.com
Pi Sigma Alpha - Iota Chapter,berkeleypisigmaalpha@gmail.com
Pilipino American Alliance,paa.chair@gmail.com
Pi Lambda Phi,rexcalpilam@gmail.com
Pilipino American Graduate Student Association,
Pilipino American Law Society,pals@berkeley.edu
Pilipino Basketball Association,ucbpba.exec@gmail.com
Pilipinx Academic Student Services,pass.executive@gmail.com
"Pilipinx Association of Scientists, Architects, and Engineers (Formerly Pilipino Association of Scientists, Architects, and Engineers)",general@pasae.berkeley.edu
Pilipino Association for Health Careers,pahc.exec@gmail.com
Pivot Consulting,pivotconsulting.berkeley@gmail.com
Pioneers in Engineering,recruiting@pioneers.berkeley.edu
Plaintiffs' Law Association,
Planning Students Association,o.ortiz@berkeley.edu
Plant & Microbial Biology Graduate Student Group,
PlexTech,info@plextech.berkeley.edu
Planty Social,
Pointe of Berkeley,pointe.berkeley@gmail.com
Plant Futures Initiative at Berkeley,kelly_horan@berkeley.edu
Pokemon Club at Berkeley,pokemonclubcal@gmail.com
Poker at Berkeley,pokeratberkeley@gmail.com
Police Review Project,berkeleypolicereviewproject@law.berkeley.edu
Policy Debate at Berkeley,mfeusterman@berkeley.edu
Political & Advocacy Organization Category (undergraduate) - Advised by Millicent Morris Chaney,lead@berkeley.edu
Polish Club of Berkeley,info@polishclub.berkeley.edu
Political Computer Science ,pcs.berkeley@gmail.com
Political and Election Empowerment Project,sara_clark@berkeley.edu
"Post-Conviction Advocacy Project, The",p-cap@berkeley.edu
Power of a Princess,powerofaprincessberkeley@gmail.com
POWER-Bay Area: Physical science Opportunities for Women in Education and Research,
Pre-Law Review at Berkeley,calprelawreview@gmail.com
Pre-PA Club at Berkeley ,Prepaberkeley@gmail.com
Pre-Medical Honor Society,ucberkeleypmhs@gmail.com
"Pre-Pharmacy Informational, Learning and Leadership Society",pills.prepharmacy@gmail.com
Pre-Nursing Society,prenursingsociety@gmail.com
PreDental Society,calpredentalsociety@gmail.com
Prisoner Advocacy Network at Berkeley,prisoneradvocacy@berkeley.edu
Pro Bonotes (formerly Boalt A Cappella),boaltacappella@gmail.com
Privacy Law at Berkeley,info@privlab.berkeley.edu
Product Space,cal@productspace.org
Product Garage at Berkeley,
Project Coordinator Liaison,
"Project RISHI, The Berkeley Chapter",ucberkeley@projectrishi.org
Project Spreading Multiculturalism and Inspiring Leadership through Education,psmileinfo@gmail.com
Prytanean Women's Honor Society (Formerly women in leadership),leadership@prytanean.berkeley.edu
